ID,Text,Label
1,"""ඇයි වව්නියාව මාමඩුව පොලිස් ඕයිසි මාරුවෙන්නෙම නැද්ද ඒතරම් අල්ලස් කාරයෙක්""",Non Toxic
2,""" ඒව අංක අනුව කරන්නෙ...හොර දැව ..කපන්නන්ගේ සංගමේ... """,Non Toxic
3,""" .සාදාරන රාජකාරියක් වෙන්නෙම නැ...මාලිමාවේ..වව්නියාවෙ ඉන්න වැඩ්ඩෙකුගෙ හිතවතෙක් නිසා වෙන්න ඇති """,Non Toxic
4,"""  මාරු කරන්නම ඔනේ මහා එකාගේ ඉදලාම පොඩ් එකා වෙනකම්ම.......""",Non Toxic
5,""" 
කලබල වෙන්න එපා......ටිරාන් ,,දේසබන්දු දෙන්නම මේවට කැමැතියි.... """,Non Toxic
6,"""කියහංකො. ජේවීපී එකට ඡන්ද තියෙන්නේ  ලක්ෂ පහයි. ලක්ෂ හැටක්ම ඉන්නෙ මාලිමාවට.  """,Non Toxic
7,"""අවුරුදු පනස් පහක් විතර ජේවීපී එකට බලය නොලුබුනේ ඇයිද කියලත් මාලිමාවට අවුරුදු හතරක් පහක් ඇතුළත බලය ලැබුනෙත් ඇයි කියලා   """,Non Toxic
8,"""හැබැයි කාර්තු පහකට පස්සේ ලංකා විදුලි බල මණ්ඩලය රැපියල් මිලියන 18000ක් 2025 පලමුවන කාර්තුවේ පාඩුයි.  """,Non Toxic
9,"""නොරොච්චෝලෙට , ඉහල කොත්මලේටත් ඒකාලෙ ජෙප්පො බාල්දි පෙරලුවා. ලංවිම පාඩු අවම කරන්න මේ මාස හයට පවතින රජය කරපු එක දෙයක් තියෙනවාද.   """,Non Toxic
10,""" මණ්ඩලය ප්‍රතිව්‍යුහගතකරණය නොකර සියලු අලාභ මහජනයා පිට පටවන එක කොයිතරම් අසාධාරණද.  """,Non Toxic
